Time,Sensor Value
0,0.16809851394388500
1,-0.07341193105492130
2,0.41943712150454600
3,0.23022091683506300
4,0.04845072067993310
5,0.391118474373306
6,0.03339455550069630
7,1.1710081511538900
8,1.1681550716161200
9,0.6078053638199050
10,0.4325801611126310
11,0.6470402818723960
12,1.0338733706887300
13,1.2267872603644600
14,0.8595499753317120
15,0.3491221747495090
16,0.45581208368859300
17,1.2200715526193000
18,1.2225620986109300
19,0.7309074772767840
20,0.861362464936091
21,0.769506674478894
22,1.4418764503305700
23,0.8174078208277120
24,21.25526019599180
25,0.7470569068197990
26,1.2003516782348500
27,0.5595328156054750
28,1.1003925532163700
29,0.6177493840673770
30,0.8044954036672140
31,0.6035317619948480
32,20.985062852234000
33,1.3880974683828900
34,0.9009633593977160
35,1.1755824387082800
36,0.8719965062523880
37,-0.04021496412335780
38,0.3761634600418280
39,0.952524823630224
40,0.8780830989813950
